,title,url,content,tag
0,Meebits品牌负责人Danny Greene宣布离职,https://www.panewslab.com/zh/sqarticledetails/8t1nete2.html,PANews 10月14日消息，MeebitsDAO总经理和Yuga品牌负责人Danny Greene在推特发文称，随着Meebits成为Otherside的一部分，其作为品牌负责人的工作也告一段落。 Danny Greene于去年8月加入Yuga Labs担任Meebits品牌负责人，负责为Meebit持有者建立社区和公用事业。,[]
1,Coinbase首席法务官：已要求美国SEC在30天内对Coinbase的规则制定请愿书采取行动,https://www.panewslab.com/zh/sqarticledetails/4181p40m.html,PANews 10月14日消息，Coinbase首席法务官Paul Grewal推特发文称，Coinbase已向第三巡回法院提交了回应，要求美国证券交易委员会（SEC）在30天内对Coinbase的规则制定请愿书采取行动。,['regulation']
2,加密交易所Virgo Group完成500万加元融资,https://www.panewslab.com/zh/sqarticledetails/stv4ku4b.html,"PANews 10月14日消息，据Techub News报道，加拿大合规加密货币平台VirgoCX Inc和澳洲交易平台Virgo.co的控股公司Virgo Group宣布，继2022年首轮融资成功筹得1000万加元后，再次获得水滴资本、Skylean Capital及Nextport Capital等投资方额外注资500万加元。新资金将用于集团在合规交易所的持续发展，加速其在新区域的扩张策略，并进一步巩固从交易到资产管理的一体化生态系统及全链条服务体系。Virgo Group提供一站式服务，包括合规的数字货币交易平台、加密货币场外交易（OTC）以及虚拟资产投资管理。
","['investment', 'exchange']"
3,Gauntlet在Aave社区发起弃用稳定币MAI/MIMATIC的新提案,https://www.panewslab.com/zh/sqarticledetails/k3up30ah.html,PANews 10月14日消息，官方治理页面显示，Gauntlet在Aave社区发起弃用MAI/MIMATIC的提案。提案表示，鉴于MAI/MIMATIC价格在过去24小时内跌至约0.72美元，并且在过去几个月内无法恢复锚定，Gauntlet建议开始弃用MAI/MIMATIC，目标是通过减少贷款期限和提高借款利率来激励还款。目前，MAI/MIMATIC被冻结，LTV设置为0。,['defi']
4,Stride暂时搁置将STRD转换为ATOM的计划,https://www.panewslab.com/zh/sqarticledetails/a4x8vvkq.html,"PANews 10月14日消息，据Blockworks报道，Cosmos生态流动性质押项目Stride将暂停将其原生代币STRD转换为Cosmos Hub的ATOM代币的计划。就在九天前，Stride Labs联合创始人Vishal Talasani在伊斯坦布尔的Cosmoverse上提出，Stride应该与Cosmos生态系统的核心区块链Cosmos Hub合并。
Stride团队推特发文称：“经过一周的公开讨论，Cosmos Hub和Stride社区已暂停STRD向ATOM转换。可以认为该计划被搁置了，但并不是完全放弃。从Cosmos Hub和Stride社区的反应来看，关于转换想法的可行性目前存在太多分歧，共识不足。也许这种情况会在未来的某个时候改变，但目前而言，我们认为推进有关转换的具体细节是不合适的。”虽然转换对话暂时搁置，但Stride团队表示，他们将继续专注于提供流动性质押服务。
据此前消息，Stride于10月9日发布提案，拟将Stride代币STRD全部转换为ATOM，ATOM将作为唯一治理代币，并可获得Stride协议的所有奖励。",[]
5,Lybra Finance社区投票决定将V1 LBR代币迁移截止日期延长至明年1月,https://www.panewslab.com/zh/sqarticledetails/pbttc4h7.html,"PANews 10月14日消息，Lybra Finance推特发文称，esLBR持有者投票决定将V1 LBR代币迁移截止日期再延长3个月。新的迁移截止日期为北京时间2024年1月16日21点。从10月16日21点开始，现有V1 LBR持有者可以开始将其代币迁移到V2 esLBR。3%的迁移费将按周发放给esLBR持有人。首次迁移费发放将在10月23日进行。据此前消息，Lybra Finance针对未迁移V1 LBR代币提出三种处理方法，其中第一种方法允许将V1 LBR代币迁移到V2，迁移费用为3%，截至日期为3个月。迁移费用（即61,979.01 LBR）将兑换为USDC并分配给V2 esLBR持有者。",[]
6,ProShares将于下周推出空头以太坊期货ETF,https://www.panewslab.com/zh/sqarticledetails/boh94mj9.html,PANews 10月14日消息，彭博分析师James Seyffart推特发文称，ProShares将于下周推出空头以太坊期货ETF（Short ETH Strategy ETF），交易将于10月16日开始，股票代码为SETH。,[]
7,Invesco Galaxy已更新比特币现货ETF招股说明书,https://www.panewslab.com/zh/sqarticledetails/k4xxanzk.html,PANews 10月14日消息，彭博高级ETF分析师Eric Balchunas推特发文称，继ARK Invest回应SEC评论之后，Invesco Galaxy现已更新其比特币现货ETF招股说明书。预期其他申请人也将很快更新文件。,[]
8,彭博分析师：比特币现货ETF在1月10日前获批的概率为90%,https://www.panewslab.com/zh/sqarticledetails/r69rixqw.html,PANews 10月14日消息，彭博高级分析师Eric Balchunas和James Seyffart认为，比特币现货ETF在1月10日之前批准的概率为90%。,[]
9,纽约时报：美国当局正出于国家安全考虑监控与中国有关的比特币矿商,https://www.panewslab.com/zh/sqarticledetails/19zaq14t.html,PANews 10月14日消息，据纽约时报报道，美国政府官员一直在密切关注与中国有关的某些加密货币挖矿业务。当局正在监控的其中一个地点是怀俄明州的一个加密采矿作业区，该矿场靠近支持五角大楼部分行动的一个微软数据中心。 微软在一份有关此次行动的报告中表示：“没有直接迹象表明该实体有恶意活动。然而，在进一步发现证据之前，我们认为工业级加密挖矿的算力以及在微软数据中心和美国三个战略导弹基地之一附近存在数量不明的中国公民可能构成重大威胁”。,[]
10,BlockFi CEO：BlockFi破产的罪魁祸首为FTX和Alameda Research,https://www.panewslab.com/zh/sqarticledetails/hi8uo30k.html,"PANews 10月14日消息，据The Block报道，BlockFi首席执行官Zac Prince在SBF审判中作证，将BlockFi的破产归咎于FTX和Alameda Research。他表示如果知道有人使用虚假的资产负债表，他绝不会发放贷款。 Prince告诉检察官，BlockFi在FTX交易所的资产总额为11亿美元。BlockFi收回了部分贷款，但仍有6.5亿美元未偿还。
Prince还表示，BlockFi一度向其客户总共借出50亿至100亿美元。Alameda Research最初在2021年初借了1000万美元，该数字在2021年5月增至5000万美元，并最终在2022年5月增至11亿美元。Prince指出，BlockFi还受到其他行业事件的影响，包括Luna和TerraUSD的崩溃（随后三箭资本对BlockFi的贷款违约）以及Celsius和Voyager的破产。
Prince表示，正如2022年年中报道的那样，BlockFi曾一度试图让FTX收购它。尽管收购从未发生，但Prince承认，与FTX的协议影响了BlockFi向Alameda提供贷款的决定。但他不承认BlockFi贷款给Alameda完全是因为这种安排。",[]
11,路透社：美国SEC不计划就灰度裁决提出上诉,https://www.panewslab.com/zh/sqarticledetails/1glwcx83.html,PANews 10月14日消息，据路透社报道，美国SEC不计划就灰度裁决提出上诉，这与很多行业人士对局势的预测相符。 据悉，SEC必须在北京时间周六中午12点之前决定是否对法院的裁决提出质疑。路透社称，SEC将让这个最后期限自然到来，而不会提出上诉。,['regulation']
12,Stars Arena将于周日重启，但暂停交易功能,https://www.panewslab.com/zh/sqarticledetails/oimgse6p.html,"PANews 10月13日消息，基于AVAX网络的社交协议Stars Arena在X平台上表示：“Arena将于周日重新开放，但暂停交易功能。重启后不久，我们将另行发布恢复交易的公告。”
此前今日早些时候消息，Stars Arena表示，将通过私人投资者获得贷款以弥补损失。",[]
13,1inch团队使用249万枚USDC购入1609枚stETH,https://www.panewslab.com/zh/sqarticledetails/23tou13w.html,PANews 10月13日消息，据链上分析师余烬监测，1小时前，1inch团队地址 (标签：1inch: Team Investment Fund Collection) 使用249万枚USDC再次购入1609枚stETH，每枚均价1551美元。,[]
14,以太坊最新会议：Devnet 9还需大量测试，协议复杂性导致升级节奏减慢,https://www.panewslab.com/zh/sqarticledetails/kxr8lozf.html,"PANews 10月13日消息，Galaxy研究副总裁Christine Kim发文总结本周以太坊开发者电话会议，会上开发者们讨论了Devnet #9上正在出现的问题和错误，并就EOF的优点进行了长时间的辩论。
会议指出，Devnet 9还需要进行大量测试。除了解决各种EL/CL组合的问题，开发人员还在加紧测试MEV-Boost。Devnet 9只有一个中继器和构建器，只能处理普通的交易，还不能处理blob交易；EF测试团队在启动Devnet 10之前需要注意的四点：更新EIP-4844KZG仪式的可信设置文件、提高blob交易的可见性、MEV管道、网络稳定性。Kim表示，Dencun是一个复杂的升级。此外，自从合并以来，以太坊的升级协议变得更加复杂。这意味着测试需要时间。开发人员甚至可能决定在Devnet 10之后再推出另一个开发网，然后再继续推出公共测试网。
Christine Kim强调，其认为随着协议变得更加复杂，以太坊升级的节奏自然会减慢，这是应该预料到的，这样新代码和新功能带来的错误和技术故障的可能性就会减轻。",[]
15,ParaFi Capital从Coinbase买入1227枚MKR，约合168万美元,https://www.panewslab.com/zh/sqarticledetails/7wzyudx1.html,"PANews 10月13日消息，据CryptoPNZ监测，ParaFi Capital今日从Coinbase买入1227枚MKR（均价1362美元），约合168万美元。
据悉，ParaFi Capital曾在一周前卖出1500枚MKR。",[]
16,网络监控公司Sandvine放弃在美国销售追踪加密消息工具的计划,https://www.panewslab.com/zh/sqarticledetails/l654811l.html,"PANews 10月13日消息，据彭博社报道，消息人士表示，网络监控公司Sandvine已经放弃了向美国执法机构出售一项有争议的互联网监控技术的计划，该技术可以追踪加密信息，该公司还解雇了参与该计划的大部分员工。目前尚不清楚Sandvine是否也停止了海外销售。
据悉，Sandvine向欧洲、中东、亚洲和北美的政府和执法机构推销这一新产品“Digital Witness”。该公司称这一技术可暗中监控人们的互联网使用和Meta Platform旗下WhatsApp和Signal等流行应用发送的加密消息。Sandvine此前已向美国提供该技术的试用版，但整体经济恶化和对公司之前与独裁政府合作的持续担忧阻碍了该产品的成功。
Digital Witness不会像间谍软件渗透手机那样破解设备或绕过加密，而是分析通过互联网网络传输的大量加密流量，收集并分析通信的元数据。Sandvine宣传Digital Witness是一种“革命性的解决方案，旨在帮助调查机构从网络数据中提取线索”，它可以帮助对加密流量、消息、语音呼叫、联系人、加密货币交易和有关个人生活方式的信息进行分类和关联。",[]
17,区块链安全公司CertiK裁员约15%,https://www.panewslab.com/zh/sqarticledetails/m45tjvsf.html,PANews 10月13日消息，据CoinDesk报道，区块链安全公司CertiK基于“市场动态”进行了裁员，联合创始人兼首席执行官Ronghui Gu在一份电子邮件声明中表示：“为了应对不断变化的市场动态，CertiK今天进行了战略性的劳动力调整，影响到的同事不到15%。公司主要目标是重新调整团队结构更好地符合公司长期战略愿望。”,[]
18,Wintermute将1350万枚HFT转入CEX，约合407万美元,https://www.panewslab.com/zh/sqarticledetails/pkb389q2.html,PANews 10月13日消息，据链上分析师余烬监测，在过去的1小时里，Wintermute共计将1350万枚HFT(约合407万美元)转入CEX，占HFT现流通量的6%：其中，1050万枚HFT转入Kraken，300万枚HFT转入币安。,[]
19,Neutron DAO提案提议将无人申领的NTRN空投代币转至Cosmos Hub,https://www.panewslab.com/zh/sqarticledetails/961e1s2z.html,"PANews 10月13日消息，跨链智能合约平台Neutron DAO社区发起“将无人申领的NTRN空投代币转移至 Cosmos Hub”提案，拟将约42,727,950枚未申领的NTRN代币转移到Cosmos Hub社区资金池，投票将于10月27日结束。",[]
